,Enzyme,Subsystem
497,Q9C9K3,pyrophosphate recycling
498,Q9C9W5,photorespiration
499,Q9CA83,
500,Q9CA90,
501,Q9CAC5,
502,Q9CAD1,GMP synthesis
503,Q9FFP6,glycolysis
504,Q9FFR3,pentose phosphate pathway
505,Q9FG89,
506,Q9FGI6,oxidative phosphorylation
507,Q9FGX1,actyl-coenzyme A synthesis
508,Q9FI53,tricarboxylic acid cycle
509,Q9FI53,arginine synthesis
510,Q9FI53,IMP synthesis
511,Q9FI53,AMP synthesis
512,Q9FIJ7,nucleotide metabolism
513,Q9FIK0,glycolysis
514,Q9FIN1,pentose phosphate pathway
515,Q9FJ82,lysine synthesis
516,Q9FJP9,tricarboxylic acid cycle
517,Q9FJP9,oxidative phosphorylation
518,Q9FJU0,gluconeogenesis
519,Q9FK35,nucleotide metabolism
520,Q9FKG3,glycolysis
521,Q9FKS5,oxidative phosphorylation
522,Q9FKW6,light reactions
523,Q9FLB7,oxidative phosphorylation
524,Q9FLH2,tricarboxylic acid cycle
525,Q9FLK2,oxidative phosphorylation
526,Q9FLQ4,tricarboxylic acid cycle
527,Q9FLW9,glycolysis
528,Q9FMD9,glutamine synthesis
529,Q9FMT1,leucine synthesis
530,Q9FNF2,starch synthesis
531,Q9FNJ8,phenylalanine synthesis
532,Q9FNK4,proline synthesis
533,Q9FNN1,glycolysis
534,Q9FNN5,oxidative phosphorylation
535,Q9FT52,
536,Q9FVC8,lysine synthesis
537,Q9FWA3,pentose phosphate pathway
538,Q9FX54,gluconeogenesis
539,Q9FX54,glycolysis
540,Q9FX83,oxidative phosphorylation
541,Q9FY99,pentose phosphate pathway
542,Q9FYA6,isoleucine synthesis
543,Q9FYA6,leucine synthesis
544,Q9FYA6,valine synthesis
545,Q9FYE3,carbon fixation
546,Q9FZ57,trehalose synthesis
547,Q9LD43,fatty acid synthesis
548,Q9LD57,Calvin-Benson cycle
549,Q9LD57,gluconeogenesis
550,Q9LD57,glycolysis
551,Q9LDV4,alanine synthesis
552,Q9LE33,glycine synthesis
553,Q9LEU8,arginine synthesis
554,Q9LF98,Calvin-Benson cycle
555,Q9LF98,sucrose synthesis
556,Q9LF98,glycolysis
557,Q9LF98,gluconeogenesis
558,Q9LFF9,pyrophosphate recycling
559,Q9LFG2,lysine synthesis
560,Q9LFP0,ADN salvage
561,Q9LFU1,asparagine synthesis
562,Q9LFU1,lysine synthesis
563,Q9LFU1,methionine synthesis
564,Q9LIK0,glycolysis
565,Q9LIK9,sulfur assimilation
566,Q9LIR4,isoleucine synthesis
567,Q9LIR4,leucine synthesis
568,Q9LIR4,valine synthesis
569,Q9LIR6,starch degradation
570,Q9LJA0,cysteine synthesis
