,Isoenzymes,ComplexID,Pmet
3149,P46645,pmet_AspAT_c,pmet_AspAT_c_REV
3150,Q9SIE1,pmet_AspAT_h,pmet_AspAT_h_REV
3151,P46248,pmet_AspAT_h,pmet_AspAT_h_REV
3152,P46644,pmet_AspAT_m,pmet_AspAT_m_REV
3153,P46643,pmet_AspAT_m,pmet_AspAT_m_REV
3154,Q43314,pmet_GluDH1NAD_m,pmet_GluDH1NADP_m_REV
3155,Q38946,pmet_GluDH1NAD_m,pmet_GluDH1NADP_m_REV
3156,Q9S7A0,pmet_GluDH1NAD_m,pmet_GluDH1NADP_m_REV
3157,Q9M401,pmet_BAATA1_h,pmet_BAATA1_h_REV
3158,Q9M439,pmet_BAATA1_h,pmet_BAATA1_h_REV
3159,Q9FYA6,pmet_BAATA1_h,pmet_BAATA1_h_REV
3160,Q9M401,pmet_BAATA1_h,pmet_BAATA2_h_REV
3161,Q9M439,pmet_BAATA1_h,pmet_BAATA2_h_REV
3162,Q9FYA6,pmet_BAATA1_h,pmet_BAATA2_h_REV
3163,O23254,pmet_GlyHMT_c,pmet_GlyHMT_c_REV
3164,Q9SVM4,pmet_GlyHMT_c,pmet_GlyHMT_c_REV
3165,Q9LK36,pmet_Cysase_c,pmet_Cysase_c_REV
3166,O23255,pmet_Cysase_c,pmet_Cysase_c_REV
3167,Q9LT69,pmet_PGADH_h,pmet_PGADH_h_REV
3168,O49485,pmet_PGADH_h,pmet_PGADH_h_REV
3169,O04130,pmet_PGADH_h,pmet_PGADH_h_REV
3170,Q9M401,pmet_BAATA1_h,pmet_BAATA3_h_REV
3171,Q9M439,pmet_BAATA1_h,pmet_BAATA3_h_REV
3172,Q9FYA6,pmet_BAATA1_h,pmet_BAATA3_h_REV
3173,Q8GYY0,pmet_AspAT2_c,pmet_AspAT2_c_REV
3174,Q9LQ10,pmet_AspAT2_c,pmet_AspAT2_c_REV
3175,P46646,pmet_AspAT2_c,pmet_AspAT2_c_REV
3176,P46645,pmet_AspAT2_c,pmet_AspAT2_c_REV
3177,P46644,pmet_AspAT2_c,pmet_AspAT2_c_REV
3178,Q9SIE1,pmet_AspAT2_c,pmet_AspAT2_c_REV
3179,Q9SIE1,pmet_AspAT2_h,pmet_AspAT2_h_REV
3180,P46248,pmet_AspAT2_h,pmet_AspAT2_h_REV
3181,P46644,pmet_AspAT2_h,pmet_AspAT2_h_REV
3182,P46643,pmet_AspAT2_m,pmet_AspAT2_m_REV
3183,P46248,pmet_AspAT2_m,pmet_AspAT2_m_REV
